feature,importance,sd
Perceived robo-advisor risk,0.2343822995480998,0.0
Need for human contact barrier,0.15621242519747988,0.0
Awareness/adoption channels,0.09893809104197743,0.0
Information/interface quality,0.09420163124264175,0.0
Perceived benefit,0.08374178779850996,0.0
Social influence,0.08191273737865024,0.0
Security/privacy concern,0.07856985332114991,0.0
Performance expectancy,0.06874776142145898,0.0
Trust,0.06403234499275286,0.0
Financial literacy/self-knowledge,0.039261068057279205,0.0
