construct,label,items,mean,sd,alpha
SI,Social influence,3,2.8956386292834893,0.8126707237073022,0.852564338607584
PE,Performance expectancy,4,3.068341121495327,0.6511807366220883,0.7858810587431645
TR,Trust,5,3.1771028037383178,0.5654692927317677,0.7703717697824206
FL,Financial literacy/self-knowledge,4,3.2961448598130842,0.5127784878106126,0.7073923925290933
IQ,Information/interface quality,4,3.2389018691588785,0.539721464895208,0.7103278166959552
OBU,Need for human contact barrier,4,2.789719626168224,0.7340414041681267,0.7844040268638129
RISK,Perceived robo-advisor risk,6,2.8909657320872273,0.7594843299442184,0.8798305138339925
BEN,Perceived benefit,3,3.2577881619937696,0.5946715332072171,0.6845969889574504
AA,Awareness/adoption channels,4,3.1325934579439254,0.6611727945953866,0.7070906678077936
WU,Willingness to use,4,3.029789719626168,0.7437210720169102,0.8818695762300199
SR,Security/privacy concern,3,2.688473520249221,0.8814992409897394,0.8677085941412127
