feature,importance,sd
Performance expectancy,0.1761105156577793,0.0
Perceived benefit,0.15808936089486048,0.0
Awareness/adoption channels,0.1516428997961601,0.0
Social influence,0.14962339802482816,0.0
Trust,0.1312402032198851,0.0
Information/interface quality,0.12060385284100006,0.0
Need for human contact barrier,0.036287104741484166,0.0
Perceived robo-advisor risk,0.032687306973470984,0.0
Financial literacy/self-knowledge,0.02467040844163033,0.0
Security/privacy concern,0.01904494940890134,0.0
