term,coef,se,p,ci_low,ci_high
Intercept,4.2674197509029455e-16,0.030118756176245938,0.9999999999999887,-0.05903167736458492,0.05903167736458578
BEN,0.22279532730304136,0.05659018674861628,8.250805198959564e-05,0.11188059939735763,0.3337100552087251
RISK,-0.037799936444766175,0.049171754444005844,0.4420519977411763,-0.13417480421166497,0.05857493132213262
TR,0.20233839084198754,0.06410937249332616,0.001598700871582381,0.07668632968360548,0.3279904520003696
PE,0.22293897506713484,0.054060063809572664,3.7249038133624786e-05,0.11698319699843522,0.32889475313583444
SI,0.24282754760482292,0.061680166530964545,8.254711456716699e-05,0.12193664264369956,0.36371845256594626
FL,-0.05192906884310745,0.038708154162682015,0.17974073522716516,-0.12779565690998837,0.02393751922377347
IQ,-0.01101578287537107,0.05583982509894659,0.8436126029629933,-0.12045982897232214,0.09842826322158
OBU,-0.07360718329992695,0.04504115893895623,0.10221256880294151,-0.16188623264222546,0.01467186604237157
AA,0.11569302816073176,0.046953121968039746,0.013739173852705943,0.023666600141657446,0.20771945617980608
SR,0.009523852127327523,0.03904055140186112,0.8072713374279561,-0.06699422255690499,0.08604192681156003
