construct,alpha,rho_a,rho_c,AVE
AA,0.7054140258308239,0.8747525239956845,0.8627084887678672,0.7598356934566957
BEN,0.6888713770055853,0.6992423310862028,0.8273291974848888,0.6155035298417179
FL,0.7052247154323613,0.7395951097511889,0.8065234023352611,0.5133674744262238
IQ,0.6558970345149954,0.9846949857287123,0.7799394515186205,0.5514937339309778
OBU,0.7841895846252659,0.7877841703800883,0.8608240623012992,0.607775919317227
PE,0.7878886789282369,0.7897059833843787,0.8628912993778652,0.6117766765892854
RISK,0.8795741306331639,0.8810863821610587,0.9089148497444882,0.6248116630862445
SI,0.8546274468455906,0.8663201707509073,0.9113644109480846,0.7743062079996585
SR,0.8676335055900845,0.8781779420558904,0.9186540045918004,0.7902155364102544
TR,0.7699316218661074,0.7743621933729357,0.843937916339498,0.5199308209565631
WU,0.8815031321540828,0.881655108148664,0.9187150053486977,0.7389159069112735
