indicator,value,scale
Place orders online through website sometimes/frequently,62.9348798302795,%
Place orders through mobile app sometimes/frequently,46.80568314290201,%
Either online or app trading sometimes/frequently,69.26623959264589,%
Rely on brokerage/advisory research tools somewhat/a great deal,77.7058813585206,%
Rely on personal financial professionals somewhat/a great deal,71.59654247414548,%
Rely on popular investments shown in trading app somewhat/a great deal,37.243801254352455,%
Rely on social media groups/message boards somewhat/a great deal,30.15509432842815,%
Make investment decisions based on social-media personality sometimes/frequently,26.372901768441174,%
Agree Internet investing makes accounts less secure (5-7),35.22398436160209,%
Agree worried about investment fraud (5-7),36.99124864307603,%
Worried Internet investing makes accounts less secure: mean 1-7,3.825272438014618,mean
Worried about losing money due to investment fraud: mean 1-7,3.9421548092183007,mean
U.S. markets are fair to all investors: mean 1-7,4.292163659718801,mean
Self-rated investing knowledge: mean 1-7,4.519716498645525,mean
Objective investing literacy: mean percent correct,59.67339254851709,%
