term,coef,se,p,ci_low,ci_high
Intercept,0.012897810478921612,0.014877832655011126,0.3859887984008752,-0.016262205692914124,0.04205782665075735
Internet-security concern,-0.17428044899818648,0.02239703716651953,7.172266976060077e-15,-0.21817783520496978,-0.1303830627914032
Fraud concern,0.10091714933100937,0.022218397180481846,5.570889029564481e-06,0.05736989106305867,0.14446440759896007
Market fairness belief,-0.016961161430187846,0.020486281134428123,0.4077113965622041,-0.05711353463082933,0.023191211770453635
Reliance on brokerage/advisory tools,0.07329584762778317,0.021433952888365106,0.0006271002605752197,0.0312860719202593,0.11530562333530704
Reliance on financial professionals,-0.23581496897260776,0.022629762783385833,1.9975782813059748e-25,-0.28016848900672886,-0.19146144893848663
Reliance on app popularity cues,0.19816406725924002,0.028716755179651134,5.176778601159597e-12,0.14188026135426973,0.2544478731642103
Reliance on social media groups,0.07542646455991024,0.03237906455067498,0.019833518498596246,0.011964664187489704,0.13888826493233078
Social-media personality use,0.10816765725970287,0.02639360661053472,4.162815121904717e-05,0.05643713888093653,0.1598981756384692
Self-rated investing knowledge,0.1009232977930058,0.02513605051153999,5.9425192344694874e-05,0.05165754407680781,0.15018905150920378
Objective literacy,0.053668312415248415,0.024172029369948042,0.02640077973648255,0.0062920054169058395,0.101044619413591
Risk tolerance,0.15236412101151717,0.02304036310140741,3.768073592069501e-11,0.10720583914203306,0.19752240288100126
Age,-0.19381477965026647,0.027665322574623327,2.4576482983549437e-12,-0.2480378155172111,-0.13959174378332184
Gender,-0.037265108336432415,0.020659047957896963,0.07126025476549963,-0.0777560982887962,0.003225881615931382
Education,-0.012207086876528956,0.0199741479213637,0.5411040467856292,-0.05135569742427738,0.026941523671219474
Income,0.03178803700722334,0.019142369572922483,0.09679151927495283,-0.005730317934460105,0.06930639194890678
